Publisher	Dataset Name	Link	Facet 1	Facet 2
Environment Agency	Flood Warning Areas	http://www.data.gov.uk/dataset/flood-alert-areas-afa055	Energy and the Environment	Location
Department of Energy and Climate Change	National Energy Efficiency Data Framework	http://data.gov.uk/dataset/national-energy-efficiency-data-framework	Energy and the Environment	Location
Department for Environment, Food and Rural Affairs	The United Kingdom fishing Vessel List 	http://data.gov.uk/data/search?q=vessels&publisher=marine-management-organisation&unpublished=true 	Energy and the Environment	Location
Marine Management Organisation	Marine Licensing Consents (Marine Management Organisation)	http://data.gov.uk/data/search?parent_publishers=department-for-environment-food-and-rural-affairs&unpublished=true&q=Marine+Management+Organisation+Legacy+Marine+Licences+%28Point%29	Energy and the Environment	Location
Marine Management Organisation	Fishing Activity Data (effort and landings)	http://data.gov.uk/data/search?parent_publishers=department-for-environment-food-and-rural-affairs&unpublished=true&q=Marine+Management+Organisation+Legacy+Marine+Licences+%28Point%29 	Energy and the Environment	Location
Ordnance Survey	1:50 000 Scale Gazetteer	http://data.gov.uk/dataset/1-50-000-scale-gazetteer	Energy and the Environment	Location
Ordnance Survey	AddressBase	http://data.gov.uk/dataset/addressbase	Energy and the Environment	Location
Ordnance Survey	AddressBase Plus	http://data.gov.uk/dataset/addressbase-plus	Energy and the Environment	Location
Ordnance Survey	AddressBase Premium	http://data.gov.uk/dataset/addressbase-premium	Energy and the Environment	Location
Ordnance Survey	Boundary-Line	http://data.gov.uk/dataset/boundary-line	Energy and the Environment	Location
Ordnance Survey	Code-Point®	http://data.gov.uk/dataset/code-point	Energy and the Environment	Location
Ordnance Survey	Code-Point® Open	http://data.gov.uk/dataset/code-point-open	Energy and the Environment	Location
Ordnance Survey	Code-Point® with polygons	http://data.gov.uk/dataset/code-point-with-polygons	Energy and the Environment	Location
Ordnance Survey	Land-Form PANORAMA® Contours	http://data.gov.uk/dataset/land-form-panorama-contours	Energy and the Environment	Location
Ordnance Survey	Land-Form PANORAMA® DTM	http://data.gov.uk/dataset/land-form-panorama-dtm	Energy and the Environment	Location
Ordnance Survey	Land-Form PROFILE® Contours	http://data.gov.uk/dataset/land-form-profile-contours	Energy and the Environment	Location
Ordnance Survey	Land-Form PROFILE® DTM	http://data.gov.uk/dataset/land-form-profile-dtm	Energy and the Environment	Location
Ordnance Survey	Meridian 2	http://data.gov.uk/dataset/meridian-2	Energy and the Environment	Location
Ordnance Survey	Ordnance Survey Atom feed (INSPIRE Download service)	http://data.gov.uk/dataset/ordnance-survey-atom-feed-inspire-download-service	Energy and the Environment	Location
Ordnance Survey	OS 1:10 000 Scale Black and White Raster	http://data.gov.uk/dataset/os-1-10-000-scale-black-and-white-raster	Energy and the Environment	Location
Ordnance Survey	OS 1:10 000 Scale Colour Raster	http://data.gov.uk/dataset/os-1-10-000-scale-colour-raster	Energy and the Environment	Location
Ordnance Survey	OS 1:25 000 Scale Colour Raster	http://data.gov.uk/dataset/os-1-25-000-scale-colour-raster	Energy and the Environment	Location
Ordnance Survey	OS 1:50 000 Scale Colour Raster	http://data.gov.uk/dataset/os-1-50-000-scale-colour-raster	Energy and the Environment	Location
Ordnance Survey	OS Locator	http://data.gov.uk/dataset/os-locator1	Energy and the Environment	Location
Ordnance Survey	OS Mastermap® Address Layer	http://data.gov.uk/dataset/os-mastermap-address-layer	Energy and the Environment	Location
Ordnance Survey	OS MasterMap Address Layer 2	http://data.gov.uk/dataset/os-mastermap-address-layer-2	Energy and the Environment	Location
Ordnance Survey	OS MasterMap® Imagery Layer	http://data.gov.uk/dataset/os-mastermap-imagery-layer	Energy and the Environment	Location
Ordnance Survey	OS MasterMap® Integrated Transport Network Layer	http://data.gov.uk/dataset/os-mastermap-integrated-transport-network-layer1	Energy and the Environment	Location
Ordnance Survey	OS MasterMap Sites Layer	http://data.gov.uk/dataset/os-mastermap-sites-layer	Energy and the Environment	Location
Ordnance Survey	OS MasterMap® Topography Layer	http://data.gov.uk/dataset/os-mastermap-topography-layer	Energy and the Environment	Location
Ordnance Survey	OS OnDemand	http://data.gov.uk/dataset/os-ondemand1	Energy and the Environment	Location
Ordnance Survey	OS OpenData 1:250 000 Scale Colour Raster	http://data.gov.uk/dataset/os-opendata-1-250-000-scale-colour-raster	Energy and the Environment	Location
Ordnance Survey	OS OpenData OS Street View®	http://data.gov.uk/dataset/os-opendata-os-street-view	Energy and the Environment	Location
Ordnance Survey	OS VectorMap District	http://data.gov.uk/dataset/os-vectormap-district1	Energy and the Environment	Location
Ordnance Survey	OS VectorMap Local	http://data.gov.uk/dataset/os-vectormap-local-colour-raster	Energy and the Environment	Location
Ordnance Survey	Strategi®	http://data.gov.uk/dataset/strategi	Energy and the Environment	Location
Ordnance Survey	UK Location Catalogue Publishing Service	http://data.gov.uk/dataset/uk-location-catalogue-publishing-service	Energy and the Environment	Location
Environment Agency	Water Quality of Effluents, Rivers, Lakes and Other Controlled Waters	http://data.gov.uk/dataset/water-quality-of-effluents-rivers-lakes-and-other-controlled-waters	Energy and the Environment	Location
Natural England	Priority Habitats Inventory	http://data.gov.uk/dataset/priority-habitats-inventory	Energy and the Environment	Location
Forestry Commission	National National Forest Inventory Inventory ñ 2012	http://data.gov.uk/dataset/forestry-commission-gb-national-forest-inventory-woodland	Energy and the Environment	Location
NHS England	GP/hospital/dentists/Clinical Commissioning Group reference data (location, size etc)	http://www.nhs.uk/aboutnhschoices/contactus/pages/freedom-of-information.aspx	Health and Social Care	Location
NHS England	GP/hospital/dentists/Clinical Commissioning Group reference data API (location, size etc)	http://www.nhs.uk/aboutnhschoices/professionals/syndication/Pages/Webservices.aspx	Health and Social Care	Location
